UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
F9,Frontier Airlines Inc.,102135
FP,TAG Aviation S.A.,3
FX,Federal Express Corporation,270199
G4,Allegiant Air,87913
G7,GoJet Airlines LLC d/b/a United Express,90119
GCH,Grand Canyon Helicopters,210
GFQ,Gulf And Caribbean Cargo,1066
GL,Miami Air International,2203
GV,Grant Aviation,48467
H6,Hageland Aviation Service,103293
HA,Hawaiian Airlines Inc.,80313
HBQ,Harris Air Services,3185
I4,Scott Air LLC dba Island Air Express,3744
J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes,18865
JL,Japan Air Lines Co. Ltd.,1
JN,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",120
JU,Air Serbia,2
K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",2635
K3,Venture Travel LLC d/b/a Taquan Air Service,11235
KAH,Kenmore Air Harbor,11836
KAQ,Kalitta Air LLC,3811
KAT,Katmai Air,2834
KD,Western Global,1157
KE,Korean Air Lines Co. Ltd.,3618
KG,Key Lime Air Corp dba Denver Air Connection,2419
KH,Aloha Air Cargo,9448
KL,Klm Royal Dutch Airlines,3
KLQ,Kalitta Charters II,2665
KO,Alaska Central Express,12391
KS,Peninsula Airways Inc.,19010
KV,Sky Regional Airlines Inc.,36
KZ,Nippon Cargo Airlines,1905
L2,Lynden Air Cargo Airlines,2096
L7,Lan Colombia,5
LA,LATAM Airlines Group SA dba Lan Airlines,5
LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,14792
LH,Lufthansa German Airlines,321
LO,Polskie Linie Lotnicze,1
LP,Lan Peru Airlines,1
M3,ABSA-Aerolinhas Brasileiras,1
M6,Amerijet International,1228
MQ,Envoy Air,239280
MW,"Mokulele Flight Services, Inc.",38787
N8,National Air Cargo Group Inc d/ba National Airlines,282
NC,Northern Air Cargo Inc.,4517
NEW,New England Airlines Inc.,7717
NK,Spirit Air Lines,152021
OH,PSA Airlines Inc.,244554
OO,SkyWest Airlines Inc.,702038
OZ,Asiana Airlines Inc.,3391
P3,Cargologicair Limited,10
PFQ,Asia Pacific,246
PH,Polynesian Airlines Ltd.,524
PM,"Prescott Support Company, Inc.",41
PO,Polar Air Cargo Airways,2187
PP,Jet Aviation Business Jets AG,14
PR,Philippine Airlines Inc.,40
PT,Piedmont Airlines,86730
Q5,40-Mile Air,625
QF,Qantas Airways Ltd.,1336
QX,Horizon Air,108372
RU,AirBridgeCargo Airlines Limited,1420
RV,Air Canada rouge LP,23
RVQ,"Reeve Air Alaska, LLC",208
S2,Star Marianas Air Inc.,25641
SEB,"Seaborne Virgin Islands, Inc.",10838
SNK,Spernak Airways Inc.,3997
SQ,Singapore Airlines Ltd.,285
SVW,"Global Jet Luxembourg, Sa",5
SY,Sun Country Airlines d/b/a MN Airlines,21367
TB,TUI Airlines Belgium N.V. d/b/a Jetairfly,47
TBQ,Triair Bermuda Flt Operations,3
TIQ,Tyrolean Jet Service,1
TP,TAP-TAP Air Portugal,3
U7,USA Jet Airlines Inc.,2816
UA,United Air Lines Inc.,581288
V8,Iliamna Air Taxi,5011
VA,Virgin Blue International Airlines t/a V Australia,1
VC,Via Airlines d/b/a Sterling Airways,5818
VI,Vieques Air Link Inc.,11903
VIQ,Volga-Dnepr Airlines,66
VJT,VistaJet Limited,7
VS,Virgin Atlantic Airways,10
VX,Virgin America,69975
WG,Sunwing Airlines Inc.,57
WI,Sky Lease Cargo,258
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1689
WN,Southwest Airlines Co.,1313964
WP,Island Air Hawaii,13532
WRD,Ward Air,128
WS,Westjet,1
WST,Friday Harbor Seaplanes,682
X4,Air Excursions LLC,2629
X9,Omni Air International LLC,615
XL,Lan Ecuador,2
XP,TEM Enterprises dba  Avelo Airlines,1636
Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),1
YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",22194
YV,Mesa Airlines Inc.,198689
YX,Republic Airline,284246
Z3,"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",2266
Z3Q,"PM Air, LLC",3988
ZK,Great Lakes Airlines,9737
ZW,Air Wisconsin Airlines Corp,86333
All Rows,All Rows (including those not displayed),8848628
-,Unknown,172
02Q,Titan Airways,4
04Q,Tradewind Aviation,6308
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",4105
0BQ,DCA,14
0CQ,ACM AIR CHARTER GmbH,23
0Q,Flying Service N.V.,9
0WQ,Avjet Corporation,1294
13Q,Chartright Air Inc.,314
14Q,London Air Services Limited,835
15Q,Air Alsie A/S,46
17Q,Albinati Aeronautics SA,2
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",133
1EQ,"KaiserAir, Inc.",315
1HQ,International Jet Management GmbH,8
1PQ,Makani Kai Air Charters,1320
1QQ,City Wings Inc dba Seaflight,3250
1TQ,Rhoades Aviation dba Transair,4763
1UQ,Gainjet Aviation SA,14
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle,2898
1XQ,Dassault Falcon Service,3
1YQ,"Air Charter, Inc d/b/a Air Flamenco",3343
1ZQ,Comlux Aruba NV,3
22Q,Gem Air LLC,296
24Q,Jet Story,7
25Q,Mjet GmbH,3
26Q,Albinati aviation Limited,1
27Q,"Jet Aviation Flight Services, Inc.",3681
28Q,Menagerie Enterprises Inc d/b/a Monarch Air,0
2AQ,ABS JETS A.S,13
2E,Smokey Bay Air Inc.,12317
2F,Frontier Flying Service,53
2GQ,Cavok Air LLC,3
2HQ,Elite Airways LLC,1323
2JQ,Delux Public Charter LLC,6859
2LQ,Tropic Ocean Airways LLC,329
2O,Island Air Service,10068
2RQ,Luxaviation S A,2
2TQ,Trans Northern Airways d/b/a Air Unlimited Charter Services,43
2UQ,Svenskt Industriflyg AB,15
30Q,"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",73
34Q,"Polaris Aviation Solutions, LLC",16
36Q,Air Hamburg Luftverkehrsgesellschaft mbH,1
37Q,"Eastern Air Express, LLC (EAX)",45
3AQ,"Maritime Helicopters, Inc.",2668
3DQ,"Rectrix Aviation, Inc.",2286
3E,"Multi-Aero, Inc. d/b/a Air Choice One",14596
3F,"Pacific Airways, Inc.",6726
3M,Silver Airways,20215
4B,Boutique Air,33757
4W,Warbelow,7671
5D,Aerolitoral,14
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,6039
5X,United Parcel Service,120670
5Y,Atlas Air Inc.,24709
7H,NEW PACIFIC AIRLINES,21303
7S,Ryan Air f/k/a Arctic Transportation,15584
8C,Air Transport International,13472
8E,Bering Air Inc.,31328
8V,Wright Air Service,15457
9E,Endeavor Air Inc.,240322
9K,"Hyannis Air Service, Inc. dba Cape Air",96293
9S,Southern Air Inc.,3478
9X,"Southern Airways Express, dba Mokulele Airlines",29557
AA,American Airlines Inc.,904987
AAT,Air Sunshine Inc.,886
ABX,ABX Air Inc,11281
